accomplishment	আকম্প্লিশমেন্ট
accomplishments	আকম্প্লিশমেন্টস
accord	আকর্ড
accordance	আকর্ডানস
according	আকর্ডিং
accordingly	আকর্ডিংলি
accountability	আকাউন্টাবিলিটি
accountable	অকাউন্টবল
accountancy	আকাউন্টানসি
accountant	আকাউন্টান্ট
accountants	আকাউন্টান্টস
accounted	অকাউন্টিড
accounting	আকাউন্টিং
accounts	আকাউন্টস
accreditation	আক্রেডিটেশন
accredited	অক্রেডিটিড
accrued	আক্রুড
accumulate	আকিউমিয়লেট
accumulated	অকিউমিয়লেটিড
accumulation	আকিউমিয়লেশন
accuracy	অ্যাকিয়ারাসি
accurate	অ্যাকিয়ারাট
accurately	অ্যাকিয়ারটলি
accused	আকিউজড
accustomed	আকাস্টমড
ace	এস
acer	এসার
aces	এসিজ
acetate	অ্যাসেটেট
achieve	আচিভ
achieved	আচিভড
achievement	অচিভমন্ট
achievements	অচিভমন্টস
achieves	আচিভজ
achieving	আচিভিং
acid	অ্যাসিড
acids	অ্যাসিডজ
ack	অ্যাক
acknowledge	অ্যাকনলেজ
acknowledged	অ্যাকনলেজড
acknowledgement	অ্যাকনোলিজমন্ট
acknowledgements	অ্যাকনোলিজমন্টস
acknowledges	অ্যাকনোলিজিজ
acknowledgments	অ্যাকনলেজমেন্টস
acm	এসিএম
acme	অ্যাকমি
acne	অ্যাকনি
acorn	একর্ন
acoustic	আকুস্টিক
acoustics	আকুস্টিক্স
acquire	অকোয়াইআর
acquired	অকোয়াইআর্ড
acquires	অকোয়াইআর্জ
acquiring	আকোয়াইরিং
acquisition	অ্যাকোয়জিশন
acquisitions	অ্যাকোয়জিশনজ
acre	একার
acreage	একারিজ
acres	একার্জ
acrobat	অ্যাক্রব্যাট
acronym	অ্যাক্রনিম
acronyms	অ্যাক্রনিমজ
across	আক্রস
acrylic	আক্রিলিক
act	অ্যাক্ট
acta	অ্যাক্টা
acted	অ্যাক্টিড
acting	অ্যাক্টিং
action	অ্যাকশন
actions	অ্যাকশনজ
activate	অ্যাক্টিভেট
activated	অ্যাক্টভেটিড
activation	অ্যাক্টিভেশন
active	অ্যাক্টিভ
actively	অ্যাক্টিভলি
activism	অ্যাক্টিভিজম
activist	অ্যাক্টিভিস্ট
activists	অ্যাক্টিভিস্টস
activities	অ্যাক্টিভিটিজ
activity	অ্যাক্টিভিটি
actor	অ্যাক্টার
actors	অ্যাক্টার্জ
actress	অ্যাক্ট্রেস
actresses	অ্যাক্ট্রসিজ
acts	অ্যাক্টস
actual	অ্যাকচওয়ল
actuarial	অ্যাকচুএরিয়াল
acupuncture	অ্যাকিউপংকচার
acura	অ্যাকিয়ারা
acute	আকিউট
ad	অ্যাড
ada	এডা
adam	অ্যাডাম
adams	অ্যাডামজ
adapt	আড্যাপ্ট
adaptation	অ্যাডাপ্টেশন
adaptec	আড্যাপ্টেক
adapted	অড্যাপ্টিড
adapter	আড্যাপ্টার
adapters	আড্যাপ্টার্জ
adaptive	আড্যাপ্টিভ
adaptor	আড্যাপ্টার
adaptors	আড্যাপ্টার্জ
add	অ্যাড
added	অ্যাডড
addendum	আডেন্ডাম
addict	আডিক্ট
addicted	অডিক্টিড
addiction	আডিকশন
addictive	আডিক্টিভ
adding	অ্যাডিং
addison	অ্যাডিসন
addition	আডিশন
additional	আডিশনাল
additionally	আডিশনলি
additions	আডিশনজ
additive	অ্যাডিটিভ
additives	অ্যাডিটিভজ
address	অ্যাড্রেস
addressed	আড্রেস্ট
addresses	অ্যাড্রেসিজ
addressing	আড্রেসিং
adds	অ্যাডজ
adequacy	অ্যাডেকোয়সি
adequate	অ্যাডেকোয়ট
adequately	অ্যাডকোয়টলি
adhd	এডিএচডি
adhere	আডহির
adherence	আডহিরেনস
adhesion	অ্যাডহিজন
adhesive	অ্যাডহিসিভ
adhesives	অ্যাডহিসিভজ
adidas	আডিডাস
adjacent	আজেসেন্ট
adjoining	আজয়নিং
adjourned	আজার্ন্ড
adjunct	অ্যাজংক্ট
adjust	আজাস্ট
adjustable	অজাস্টবল
adjusted	অজাস্টিড
adjusting	আজাস্টিং
adjustment	আজাস্টমেন্ট
adjustments	আজাস্টমেন্টস
adler	অ্যাডলার
admin	অ্যাডমিন
administer	আডমিনিস্টার
administered	আডমিনিস্টার্ড
administering	অ্যাডমিনিস্টারিং
administration	অ্যাডমিনিস্ট্রেশন
administrative	আডমিনিস্ট্রেটিভ
administrator	আডমিনিস্ট্রেটার
administrators	অ্যাডমিনিস্ট্রেটার্জ
admins	আডমিনজ
admiral	অ্যাডমারাল
admire	অ্যাডমাইর
admission	অ্যাডমিশন
admissions	অ্যাডমিশনজ
admit	আডমিট
admits	আডমিটস
admitted	অডমিটিড
adobe	অডোবি
adolescent	অ্যাডলেসেন্ট
adolescents	অ্যাডলেসেন্টস
adopt	আডপ্ট
adopted	অডোপ্টিড
adopting	আডপ্টিং
adoption	আডপশন
adorable	অডরবল
adrenaline	আড্রেনালিন
adrian	এড্রিয়ান
ads	অ্যাডজ
adsl	এডিএসেল
adult	আডাল্ট
adults	আডাল্টস
advance	আডভ্যানস
advanced	আডভ্যানস্ট
advancement	অডভ্যানস্মন্ট
advances	অডভ্যানসজ
advancing	আডভ্যানসিং
advantage	অ্যাডভ্যান্টাজ
advantages	অ্যাডভ্যান্টিজিজ
advent	অ্যাডভেন্ট
adventure	অ্যাডভেন্চার
adventures	অ্যাডভেন্চার্জ
adverse	অ্যাডভার্স
adversely	অ্যাডভার্স্লি
advert	অ্যাডভার্ট
advertise	অ্যাডভারটাইজ
advertised	অ্যাডভারটাইজড
advertisement	অ্যাডভার্টজমন্ট
advertisements	অ্যাডভারটাইজমন্টস
advertiser	অ্যাডভারটাইজার
advertisers	অ্যাডভারটাইজার্জ
advertising	অ্যাডভারটাইজিং
advice	অ্যাডভাইস
advise	অ্যাডভাইজ
advised	অ্যাডভাইজড
adviser	অ্যাডভাইজার
advisers	অ্যাডভাইজার্জ
advises	অ্যাডভাইজিজ
advising	অ্যাডভাইজিং
advisor	অ্যাডভাইজার
advisories	আডভাইজারিজ
advisors	অ্যাডভাইজার্জ
advisory	অ্যাডভাইজারি
advocacy	অ্যাডভকাসি
advocate	অ্যাডভকাট
advocates	অ্যাডভকাটস
ae	এ
aerial	এরিয়াল
aero	এরো
aerobic	আরোবিক
aerosmith	এরোসমিথ
aerosol	এরসল
aerospace	এরোসপেস
aesthetic	আসথেটিক
aesthetics	আসথেটিক্স
affair	আফেয়ার
affairs	আফের্জ
affect	আফেক্ট
affected	অফেক্টিড
affecting	আফেক্টিং
affection	আফেকশন
affects	আফেক্টস
affidavit	অ্যাফিডেভিট
affiliate	অফিলিয়েট
affiliated	অফিলিয়েটিড
affiliates	অফিলিয়াটস
affiliation	অফিলিয়েশন
affiliations	অফিলিয়েশনজ
affinity	আফিনিটি
affirm	আফার্ম
affirmative	আফার্মাটিভ
affirmed	আফার্মড
afford	আফর্ড
affordable	অফর্ডবল
afforded	অফর্ডড
afghan	অ্যাফগ্যান
afghanistan	অ্যাফগ্যানিস্ট্যান
afl	এএফেল
aforementioned	অফর্মেনশন্ড
afraid	আফ্রেড
africa	অ্যাফ্রিকা
african	অ্যাফ্রিকান
afro	অ্যাফ্রো
aft	অ্যাফট
after	অ্যাফটার
aftermarket	অ্যাফটারমার্কেট
aftermath	অ্যাফটারম্যাথ
afternoon	অ্যাফটারনুন
afterwards	অ্যাফটারোয়ার্ডজ
ag	অ্যাগ
again	আগেন
against	আগেনস্ট
aged	এজড
agencies	এজনসিজ
agency	এজনসি
agenda	আজেন্ডা
agendas	আজেন্ডাজ
agent	এজন্ট
agents	এজন্টস
ages	এজজ
aggregate	অ্যাগ্রেগাট
aggregation	অ্যাগ্রেগেশন
aggression	আগ্রেশন
aggressive	আগ্রেসিভ
agile	অ্যাজিল
agility	আজিলিটি
aging	এজিং
agnes	অ্যাগনিস
ago	আগো
agree	আগ্রি
agreed	আগ্রিড
agreeing	অগ্রিইং
agreement	আগ্রিমেন্ট
agreements	আগ্রিমেন্টস
agrees	আগ্রিজ
agri	অ্যাগ্রি
agricultural	অ্যাগ্রিকালচারাল
agriculture	অ্যাগ্রিকলচার
aguilera	আগুইলেরা
ah	আ
ahead	আহেড
ahmad	আমাড
ahmed	আমড
ai	আই
aid	এড
aide	এড
aided	এডড
aides	এডজ
aids	এডজ
aim	এম
aimed	এমড
aiming	এমিং
aims	এমজ
air	এয়ার
airborne	এর্বর্ন
aircraft	এর্ক্রাফট
aired	এর্ড
aires	এরিজ
airfare	এর্ফেয়ার
airfares	এর্ফের্জ
airline	এর্লাইন
airlines	এর্লাইনজ
airmail	এর্মেল
airplane	এর্প্লেন
airplanes	এর্প্লেনজ
airports	এর্পর্টস
airways	এরোয়েজ
aisle	আইল
aix	এক্স
ajax	এজ্যাক্স
aka	আকা
akin	আকিন
akron	অ্যাক্রন
al	অ্যাল
ala	অ্যালা
alabama	অ্যালাব্যামা
aladdin	অ্যাল্যাডিন
alain	আলেন
alameda	অ্যালামিডা
alamo	অ্যালামো
alan	অ্যালান
alarm	আলার্ম
alarms	আলার্মজ
alas	আল্যাস
alaska	আল্যাস্কা
alaskan	আল্যাস্কান
alba	অ্যালবা
albania	অ্যালবেনিয়া
albanian	অ্যালবেনিয়ান
albany	অলবানি
albeit	অলবিইট
albert	অ্যালবার্ট
alberta	অ্যালবার্টা
alberto	অ্যালবার্টো
albion	অ্যালবিয়ান
album	অ্যালবাম
albums	অ্যালবামজ
albuquerque	অ্যালবাকারকি
alcatel	অ্যালকাটেল
alchemy	অ্যালকেমি
alcohol	অ্যালকহল
alcoholic	অ্যালকহলিক
alcoholism	অ্যালকহলিজম
ale	এল
alec	অ্যালেক
alert	আলার্ট
alerts	আলার্টস
alex	অ্যালেক্স
alexa	আলেক্সা
alexander	অ্যালেগজ্যান্ডার
alexandra	অ্যালেগজ্যান্ড্রা
alexandre	অ্যালিক্সান্ডার
alexandria	অ্যালগজ্যান্ড্রিয়া
alexis	আলেক্সিস
alfa	অ্যালফা
alfred	অ্যালফ্রড
algae	অ্যালজি
algebra	অ্যালজেব্রা
algebraic	অ্যালজব্রেইক
algeria	অ্যালজিরিয়া
algorithm	অ্যালগারিদম
algorithms	অ্যালগারিদমজ
ali	আলি
alias	এলিয়াস
aliases	এলিয়াসিজ
alice	অ্যালিস
alicia	আলিশা
alien	এলিয়ান
aliens	এলিয়ানজ
align	আলাইন
aligned	আলাইন্ড
alignment	আলাইনমেন্ট
alike	আলাইক
alison	অ্যালিসন
alito	আলিটো
alive	আলাইভ
alkaline	অ্যালকালাইন
all	অল
alla	আলা
allah	আলা
allan	অ্যালান
allegations	অ্যালেগেশনজ
alleged	আলেজড
allegedly	আলেজেডলি
allegiance	আলিজনস
allegra	আলেগ্রা
allegro	আলেগ্রো
allen	অ্যালেন
allergic	আলার্জিক
allergies	অ্যালারজিজ
allergy	অ্যালারজি
alleviate	অলিভিয়েট
alley	অ্যালি
alliance	অলাইঅনস
alliances	অলাইঅনসজ
allied	আলাইড
allies	অ্যালাইজ
allison	অ্যালিসন
allocate	অ্যালকেট
allocated	অ্যালকেটিড
allocation	অ্যালকেশন
allocations	অ্যালকেশনজ
allow	আলাউ
allowable	অলাউঅবল
allowance	আলাউআনস
allowances	অলাউঅনসিজ
allowed	আলাউড
allowing	আলাউইং
allows	আলাউজ
alloy	অ্যালয়
alloys	অ্যালয়জ
ally	অ্যালাই
alma	আলমা
almanac	আলমান্যাক
almighty	আলমাইটি
almond	অমন্ড
almost	অলমোস্ট
aloe	অ্যালো
aloha	আলোহা
alone	আলোন
along	আলং
alongside	আলংসাইড
alot	আলট
aloud	আলাউড
alpha	অ্যালফা
alphabet	অ্যালফাবেট
alphabetical	অ্যালফাবেটিকাল
alphabetically	অ্যালফবেটিকলি
alpine	অ্যালপাইন
alps	অ্যালপস
alright	অলরাইট
als	অ্যালজ
also	অলসো
alt	আল্ট
alta	আল্টা
altar	অল্টার
altavista	অল্টাভিস্টা
alter	অল্টার
alteration	অল্টারেশন
alterations	অল্টারেশনজ
altered	অল্টার্ড
altering	অল্টারিং
alternate	অল্টারনাট
alternating	অল্টারনেটিং
alternative	আল্টার্নাটিভ
alternatively	অল্টার্নটিভলি
alternatives	আল্টার্নাটিভজ
although	অলদো
altitude	অ্যাল্টিটিউড
alto	অ্যাল্টো
altogether	অল্টগেদার
alton	অল্টন
aluminium	আলুমিনিম
aluminum	আলুমিনাম
alumni	আলামনাই
alvin	অ্যালভিন
alzheimer	অ্যালজহাইমার
am	অ্যাম
ama	এএমে
amanda	আম্যান্ডা
amarillo	অ্যামারিলো
amateur	অ্যামাটার
amateurs	অ্যামাটার্জ
amazed	আমেজড
amazing	আমেজিং
amazingly	আমেজিংলি
amazon	অ্যামাজন
ambassador	অ্যামব্যাসাডার
amber	অ্যামবার
ambien	অ্যামবিয়েন
ambient	অ্যামবিয়ান্ট
ambiguous	অ্যামবিগিউঅস
ambition	অ্যামবিশন
ambitious	অ্যামবিশিস
ambulance	অ্যামবিয়লানস
amc	এএমসি
amd	এএমডি
amelia	আমিলিয়া
amen	এমেন
amend	আমেন্ড
amended	অমেন্ডিড
amending	আমেন্ডিং
amendment	আমেন্ডমেন্ট
amendments	আমেন্ডমেন্টস
amenities	আমেনিটিজ
amer	এমার
american	আমেরিকান
americana	আমেরিক্যানা
americans	আমেরিকানজ
americas	আমেরিকাজ
ames	এমজ
amethyst	অ্যামেথিস্ট
amex	অ্যামেক্স
amherst	অ্যামার্স্ট
amid	আমিড
amiga	আমিগা
amino	আমিনো
ammo	অ্যামো
ammonia	আমোনিয়া
ammunition	অ্যামিয়নিশন
amnesty	অ্যামনেস্টি
among	আমাং
amongst	আমাংস্ট
amor	অ্যামার
amortization	অ্যামারটিজেশন
amos	এমস
amount	আমাউন্ট
amounts	আমাউন্টস
amp	অ্যাম্প
ample	অ্যাম্পল
amplification	অ্যাম্প্লিফিকেশন
amplified	অ্যাম্প্লিফাইড
amplifier	অ্যাম্প্লফাইআর
amplifiers	অ্যাম্প্লফাইআর্জ
amplitude	অ্যাম্প্লিটিউড
ams	অ্যামজ
amsterdam	অ্যামস্টারড্যাম
amusement	অমিউজমন্ট
amusing	আমিউজিং
amy	এমি
an	অ্যান
ana	আনা
anabolic	অ্যানাবলিক
anaheim	অ্যানাহাইম
anal	এনাল
analog	অ্যানালগ
analogous	আন্যালগস
analogue	অ্যানলগ
analogy	আন্যালজি
analyses	অন্যালসিজ
analysis	আন্যালিসিস
analyst	অ্যানালিস্ট
analysts	অ্যানালিস্টস
analytic	অ্যানালিটিক
analytical	অ্যানালিটিকাল
analytics	অ্যানালিটিক্স
analyze	অ্যানালাইজ
analyzed	অ্যানালাইজড
analyzer	অ্যানালাইজার
analyzes	অ্যানলাইজিজ
analyzing	অ্যানালাইজিং
anarchy	অ্যানারকি
anatomy	আন্যাটমি
ancestor	অ্যানসেস্টার
ancestors	অ্যানসেস্টার্জ
ancestry	অ্যানসেস্ট্রি
anchor	অ্যাংকার
anchorage	অ্যাংকারাজ
anchors	অ্যাংকার্জ
ancient	এন্চন্ট
ancillary	অ্যানসিলেরি
anders	অ্যান্ডার্জ
andersen	অ্যান্ডারসেন
anderson	অ্যান্ডারসন
andorra	অ্যান্ডরা
andover	অ্যান্ডোভার
andre	আন্ড্রে
andrea	অ্যান্ড্রিয়া
andreas	আন্ড্রেঅস
andrew	অ্যান্ড্রু
andrews	অ্যান্ড্রুজ
andy	অ্যান্ডি
anemia	অনিমিয়া
anesthesia	অ্যানেসথিজা
ang	অ্যাং
angel	এন্জেল
angela	অ্যান্জেলা
angeles	অ্যান্জলিস
angelina	অ্যান্জেলিনা
angelo	অ্যান্জেলো
angels	এন্জেলজ
anger	অ্যাংগার
angie	অ্যান্জি
angle	অ্যাংগল
angles	অ্যাংগলজ
anglican	অ্যাংগলিকান
anglo	অ্যাংগলো
angola	অ্যাংগোলা
anguilla	অ্যাংউইলা
angular	অ্যাংগিয়লার
angus	অ্যাংগাস
animal	অ্যানিমাল
animals	অ্যানিমালজ
animated	অ্যানমেটিড
animation	অ্যানিমেশন
animations	অ্যানিমেশনজ
anime	অ্যানিমে
aniston	অ্যানিস্টন
anita	আনিটা
ankle	অ্যাংকল
ann	অ্যান
anna	অ্যানা
annals	অ্যানালজ
annapolis	আন্যাপলিস
anne	অ্যান
annette	আনেট
annex	অ্যানেক্স
annie	অ্যানি
anniversary	অ্যানিভার্সারি
annotate	অ্যানটেট
annotated	অ্যানটেটিড
annotation	অ্যানটেশন
annotations	অ্যানটেশনজ
announce	আনাউনস
announced	আনাউনস্ট
announcement	অনাউনস্মন্ট
announcements	অনাউনস্মন্টস
announces	অনাউনসিজ
announcing	আনাউনসিং
annoyed	আনয়ড
annoying	আনয়ইং
annual	অ্যানিউঅল
annually	অ্যানিউঅলি
annuity	অনুঅটি
annum	অ্যানাম
ano	অ্যানো
anomalies	আনমালিজ
anomaly	আনমালি
anon	অ্যানন
anonymous	আননিমস
another	আনাদার
ansi	অ্যানসি
answer	অ্যানসার
answered	অ্যানসার্ড
answering	অ্যানসারিং
answers	অ্যানসার্জ
ant	অ্যান্ট
antarctic	অ্যান্টার্ক্টিক
antarctica	অ্যান্টার্ক্টিকা
ante	অ্যান্টি
antenna	অ্যান্টেনা
antennas	অ্যান্টেনাজ
anterior	অ্যান্টিরিআর
anthem	অ্যানথেম
anthology	অ্যানথলজি
anthony	অ্যানথনি
anthrax	অ্যানথ্রাক্স
anthropology	অ্যানথ্রপলজি
anti	অ্যান্টি
antibiotic	অ্যান্টিবাইঅটিক
antibiotics	অ্যান্টিবাইঅটিক্স
antibodies	অ্যান্টিবডিজ
antibody	অ্যান্টিবডি
anticipate	অ্যান্টিসিপেট
anticipated	অ্যান্টিসপেটিড
anticipation	অ্যান্টিসিপেশন
antigen	অ্যান্টিজন
antigens	অ্যান্টিজনজ
antigua	অ্যান্টিগোয়া
antilles	অ্যান্টিলিজ
antique	অ্যান্টিক
antiques	অ্যান্টিক্স
antitrust	অ্যান্টাইট্রাস্ট
antivirus	অ্যান্টিভাইরাস
anton	অ্যান্টন
antonio	অ্যান্টোনিও
antony	অ্যান্টনি
ants	অ্যান্টস
anxiety	অ্যাংজাইঅটি
anxious	অ্যাংকশিস
any	এনি
anybody	এনিবডি
anymore	এনিমর
anyone	এনিওয়ন
anything	এনিথিং
anytime	এনিটাইম
anyways	এনিওয়েজ
anywhere	এনিওয়ের
aol	এওএল
ap	এপি
apache	অপ্যাচি
apart	আপার্ট
apartment	আপার্টমেন্ট
apartments	আপার্টমেন্টস
apc	এপিসি
ape	এপ
aperture	অ্যাপারচার
apex	এপেক্স
aphrodite	অ্যাফ্রডাইটি
api	এপিআই
apo	এপিও
apocalypse	আপকালিপস
apollo	আপলো
apologies	আপলজিজ
apologize	আপলজাইজ
apology	আপলজি
apoptosis	অ্যাপপ্টোসিজ
apostle	অপোসল
apostles	অপোসলজ
appalachian	অ্যাপালেচন
apparatus	অ্যাপারাটাস
apparel	আপ্যারেল
apparent	আপেরেন্ট
apparently	আপেরেন্টলি
appeal	আপিল
appealed	আপিল্ড
appealing	আপিলিং
appeals	আপিলজ
appear	আপির
appearance	আপিরানস
appearances	অপিরনসজ
appeared	আপির্ড
appearing	আপিরিং
appears	আপির্জ
appellant	আপেলান্ট
appellate	আপেলাট
append	আপেন্ড
appendices	অপেন্ডিসিজ
appendix	আপেন্ডিক্স
appetite	অ্যাপেটাইট
appetizers	অ্যাপেটাইজার্জ
applause	আপলজ
apple	অ্যাপল
applegate	অ্যাপেলগেট
apples	অ্যাপলজ
applet	অ্যাপলেট
appleton	অ্যাপেল্টন
appliance	অপলাইঅনস
appliances	অপলাইঅনসজ
applicability	অ্যাপলিকাবিলিটি
applicable	অ্যাপলকবল
applicant	অ্যাপলিকান্ট
applicants	অ্যাপলিকান্টস
application	অ্যাপলিকেশন
applications	অ্যাপলিকেশনজ
applied	আপলাইড
applies	আপলাইজ
apply	আপলাই
applying	আপলাইইং
appoint	আপয়ন্ট
appointed	অপয়ন্টিড
appointments	আপয়ন্টমেন্টস
appraisal	আপ্রেজাল
appraisals	আপ্রেজালজ
appraiser	আপ্রেজার
appreciate	অপ্রিশিয়েট
appreciated	অপ্রিশিয়েটিড
appreciation	অপ্রিশিয়েশন
apprentice	আপ্রেন্টিস
apprenticeship	অপ্রেন্টসশিপ
approach	আপ্রোচ
approached	আপ্রোচট
approaches	অপ্রোচজ
approaching	আপ্রোচিং
appropriate	অপ্রোপ্রিয়াট
appropriated	অপ্রোপ্রিয়েটিড
appropriately	আপ্রোপ্রিএটলি
appropriation	অপ্রোপ্রিয়েশন
appropriations	অপ্রোপ্রিয়েশনজ
approval	আপ্রুভাল
approvals	আপ্রুভালজ
approve	আপ্রুভ
approved	আপ্রুভড
approves	আপ্রুভজ
approving	আপ্রুভিং
approximate	আপ্রক্সিমাট
approximately	অপ্রোক্সমটলি
approximation	আপ্রক্সিমেশন
apron	এপ্রন
apt	অ্যাপ্ট
aqua	অ্যাকোয়া
aquaculture	অ্যাকোয়কলচার
aquarium	অকোয়েরিয়াম
aquatic	আকোয়াটিক
aqueous	একুইয়াস
arab	অ্যারাব
arabia	অরেবিয়া
arabian	অরেবিয়ান
arabic	অ্যারাবিক
arabs	অ্যারাবজ
arafat	এরাফ্যাট
arbitrary	আর্বিট্রেরি
arbitration	অর্বিট্রেশন
arbor	অর্বার
arc	আর্ক
arcade	আর্কেড
arcadia	আর্কেডিয়া
arch	আর্চ
archaeological	অর্কিয়ালোজিকল
archaeology	অর্কিয়লজি
archbishop	অর্চবিশপ
archer	আর্চার
archery	আর্চারি
architect	আর্কিটেক্ট
architects	আর্কিটেক্টস
architectural	আর্কিটেকচারাল
architecture	আর্কিটেকচার
architectures	আর্কিটেকচার্জ
archival	আর্কাইভাল
archive	আর্কাইভ
archived	আর্কাইভড
archives	আর্কাইভজ
arctic	আর্ক্টিক
arden	আর্ডেন
are	আর
area	এরিয়া
areas	এরিয়াজ
arena	আরিনা
ares	আর্জ
argentina	আর্জন্টিনা
argentine	আর্জন্টিন
arguably	আর্গিউঅবলি
argue	আর্গিউ
argued	আর্গিউড
argues	আর্গিউজ
arguing	আর্গিউইং
argument	আর্গিয়মেন্ট
arguments	আর্গিয়মেন্টস
argus	আর্গাস
ari	আরি
aria	আরিয়া
arial	এরিয়াল
arid	অ্যারিড
ariel	এরিয়াল
aries	এরিজ
arise	আরাইজ
arises	আরাইজজ
arising	আরাইজিং
aristotle	এরস্টোটল
arithmetic	এরিথমেটিক
arizona	এরিজোনা
ark	আর্ক
arkansas	আর্কানসা
arlington	অর্লিংটন
arm	আর্ম
armada	আর্মাডা
armani	আর্মানি
armed	আর্মড
armenia	আর্মিনিয়া
armenian	আর্মিনিয়ান
armies	আর্মিজ
armor	অর্মার
armored	অর্মার্ড
armour	অর্মার
arms	আর্মজ
armstrong	অর্মস্ট্রং
army	আর্মি
arnold	অর্নল্ড
aroma	আরোমা
aromatherapy	আরোমাথারাপি
aromatic	এরম্যাটিক
arose	আরোজ
around	আরাউন্ড
arp	আর্প
arrange	আরেন্জ
arranged	আরেন্জড
arrangement	আরেন্জমন্ট
arrangements	আরেন্জমন্টস
arranging	আরেন্জিং
array	আরে
arrays	আরেজ
arrest	আরেস্ট
arrested	আরেস্টিড
arrests	আরেস্টস
arrival	আরাইভাল
arrivals	আরাইভালজ
arrive	আরাইভ
arrived	আরাইভড
arrives	আরাইভজ
arriving	আরাইভিং
arrow	অ্যারো
arrows	অ্যারোজ
arsenal	আর্সেনাল
arsenic	আর্সেনিক
art	আর্ট
arterial	আর্টিরিয়াল
arteries	আর্টারিজ
artery	আর্টারি
arthritis	আর্থ্রাইটিস
arthur	আর্থার
article	আর্টকল
articles	আর্টকলজ
articulate	আর্টিকিয়লেট
articulated	আর্টিকিয়লেটিড
artifacts	আর্টিফ্যাক্টস
artificial	আর্টিফিশিল
artillery	আর্টিলারি
artisan	আর্টিজান
artist	আর্টিস্ট
artistic	আর্টিস্টিক
artists	আর্টিস্টস
arts	আর্টস
artwork	অর্টোয়ার্ক
aruba	আরুবা
as	অ্যাজ
asa	আসা
asap	এএসেপি
asbestos	অ্যাসবেস্টস
ascending	আসেন্ডিং
ascension	আসেনশন
ascertain	অ্যাসারটেন
ascii	অ্যাস্কি
asean	অজিয়ান
ash	অ্যাশ
ashamed	আশেমড
ashcroft	অ্যাশক্রফট
ashes	অ্যাশজ
asheville	অ্যাশভিল
ashford	অ্যাশফার্ড
ashland	অ্যাশলান্ড
ashton	অ্যাশটন
asia	এজা
asian	এজন
asians	এজনজ
aside	আসাইড
ask	অ্যাসক
asked	অ্যাসক্ট
asking	অ্যাস্কিং
asks	অ্যাসক্স
asleep	আসলিপ
asp	অ্যাসপ
aspect	অ্যাসপেক্ট
aspects	অ্যাসপেক্টস
